,loss,binary_accuracy,iou,dice_coefficients,val_loss,val_binary_accuracy,val_iou,val_dice_coefficients
22,-0.8403763771057129,0.9970971941947937,0.7292874455451965,0.8403928279876709,-0.8589133620262146,0.9968649744987488,0.7622742056846619,0.8630685806274414
23,-0.857243001461029,0.9974480867385864,0.7539674043655396,0.8572548031806946,-0.848414421081543,0.9979828000068665,0.7486638426780701,0.848414421081543
24,-0.861200213432312,0.99753737449646,0.7601049542427063,0.8612053990364075,-0.8729883432388306,0.9971294403076172,0.772144079208374,0.8700855374336243
25,-0.8677993416786194,0.9976098537445068,0.7697681188583374,0.8678078055381775,-0.863760769367218,0.9977436661720276,0.7630274891853333,0.863760769367218
26,-0.8663559556007385,0.9975244998931885,0.7675976157188416,0.8663530349731445,-0.8732284903526306,0.9975865483283997,0.7775228023529053,0.8732284903526306
27,-0.8714303970336914,0.9976142048835754,0.7746612429618835,0.8714205026626587,-0.8874488472938538,0.9975557923316956,0.7936782836914062,0.8840064406394958
28,-0.8587625026702881,0.9974026083946228,0.7568588852882385,0.8587520122528076,-0.8815483450889587,0.9977784752845764,0.7893210053443909,0.8815483450889587
29,-0.8631835579872131,0.9975288510322571,0.7645188570022583,0.8631917834281921,-0.897085428237915,0.9978287220001221,0.8190228343009949,0.8998287320137024
30,-0.8814923763275146,0.9977167248725891,0.7900546193122864,0.881490170955658,-0.8670510649681091,0.9976680874824524,0.7853228449821472,0.8767621517181396
31,-0.8762518763542175,0.9976626634597778,0.7833526730537415,0.8762521147727966,-0.8647162318229675,0.99793940782547,0.7683084607124329,0.8647162318229675
32,-0.8816912770271301,0.9977353811264038,0.7909923791885376,0.8816767334938049,-0.9067833423614502,0.9980871677398682,0.8224807381629944,0.9019185900688171
33,-0.880684494972229,0.9977582097053528,0.7895557880401611,0.8806836605072021,-0.8582172989845276,0.9975534081459045,0.7551880478858948,0.8582172989845276
34,-0.8763757348060608,0.9976879954338074,0.7834625840187073,0.8763861060142517,-0.8875765204429626,0.9977405071258545,0.7997869849205017,0.8875765204429626
35,-0.8823024034500122,0.9977490305900574,0.791838526725769,0.8823110461235046,-0.8930857181549072,0.9979761838912964,0.8010814189910889,0.8888328075408936
36,-0.8845304250717163,0.9977497458457947,0.7949208617210388,0.8845319747924805,-0.8924967646598816,0.9979152083396912,0.8078038096427917,0.8924967646598816
37,-0.8799502849578857,0.9977514743804932,0.7895155549049377,0.8799464702606201,-0.9027262926101685,0.9976334571838379,0.8089365363121033,0.892758846282959
38,-0.8847523927688599,0.99778813123703,0.7968242764472961,0.8847669959068298,-0.8491598963737488,0.997947633266449,0.7403095364570618,0.8491598963737488
39,-0.8783650398254395,0.9976983070373535,0.7868274450302124,0.8783717751502991,-0.8935676217079163,0.997774600982666,0.8095192909240723,0.8935676217079163
40,-0.8812128901481628,0.9976816177368164,0.7904844284057617,0.8812299966812134,-0.8714040517807007,0.9981067180633545,0.7890098690986633,0.8791680932044983
41,-0.8722183108329773,0.9974755644798279,0.7768107652664185,0.8722148537635803,-0.8485291600227356,0.9968593716621399,0.7376059889793396,0.8485291600227356
42,-0.8816377520561218,0.9977267980575562,0.791269838809967,0.8816434741020203,-0.891465425491333,0.9977356791496277,0.7847623825073242,0.8763346672058105
43,-0.8886963725090027,0.9978269338607788,0.8019835948944092,0.8886868357658386,-0.8760993480682373,0.9978521466255188,0.8007233142852783,0.8856934905052185
44,-0.8800394535064697,0.9978212714195251,0.7905896902084351,0.8800545930862427,-0.8722295165061951,0.9975790977478027,0.7762193083763123,0.8722295165061951
45,-0.8872126936912537,0.9978470802307129,0.799882173538208,0.8871985077857971,-0.9144280552864075,0.9986428022384644,0.8219205737113953,0.8990533351898193
46,-0.8854122757911682,0.9978213310241699,0.798200249671936,0.8854153752326965,-0.8508589267730713,0.9969885349273682,0.742559015750885,0.8508589267730713
47,-0.8771854043006897,0.9976348280906677,0.7848573327064514,0.8771908283233643,-0.8238906264305115,0.9972602725028992,0.7051205635070801,0.8238906264305115
